CAS,Name,MW,VP (mm Hg),log VP,Estimate VP (mm Hg),log VP est,Error,VP temp (degC),VP type,Reference
24691-80-3,Fenfuram,201.23,1.5e-07,-6.8239087409443,6.53e-06,-5.1850868187249,1.6388219222194,20,EXT,"TOMLIN,C (1997)"
24910-63-2,"3,4-DIMETHYL-2-PENTENE",98.19,67.576,1.8297924811746,67.4,1.8286598965353,-0.00113258463929999,25,EXP,"DYKYJ,J & REPAS,M (1973)"
24910-68-7,"3,5-Dichlorodiphenyl ether",239.1,0.001,-3.0,0.000169,-3.7721132953863,-0.7721132953863,25,EXP,"KURZ,J & BALLSCHMITER,K (1999)"
24910-69-8,"2,5-Dichlorodiphenyl ether",239.1,0.001,-3.0,0.000169,-3.7721132953863,-0.7721132953863,25,EXT,"KURZ,J & BALLSCHMITER,K (1999)"
24910-73-4,"3,4',5-Trichlorodiphenyl ether",273.55,0.000172,-3.7644715530925,3.82e-05,-4.4179366370883,-0.6534650839958,25,EXP,"KURZ,J & BALLSCHMITER,K (1999)"
24934-91-6,CHLORMEPHOS,234.7,0.057,-1.2441251443275,0.00379,-2.4213607900319,-1.1772356457044,30,EXP,"TOMLIN,C (1994)"
25013-15-4,VINYLTOLUENE,354.54,1.5,0.176091259055681,1.95,0.290034611362518,0.113943352306837,20,EXP,"WEBER,RC ET AL. (1981)"
25057-89-0,BENTAZONE,240.28,3.45e-06,-5.4621809049267,2.56e-07,-6.5917600346882,-1.1295791297615,20,EXP,"TOMLIN,C (1994)"
25059-80-7,BENAZOLIN-ETHYL,271.72,2.78e-06,-5.5559552040819,2.79e-06,-5.5543957967264,0.00155940735549986,20,EXP,"TOMLIN,C (1997)"
25154-52-3,NONYLPHENOL (isomer mixture),220.36,2.36e-05,-4.6270879970299,0.000686,-3.1636758842932,1.4634121127367,25,EXP,"DAUBERT,TE & DANNER,RP (1989)"
25155-15-1,P-I-PROPYLTOLUENE,134.22,1.64,0.214843848047698,1.14,0.0569048513364726,-0.157938996711225,25,EXP,"PERRY,RH & GREEN,D (1984)"
25155-23-1,DIMETHYLPHENOL PHOSPHATE (3:1),410.45,5.15e-08,-7.2881927709588,2.06e-08,-7.6861327796308,-0.397940008671999,30,EXP,"BOETHLING,RS & COOPER,JC (1985)"
25168-15-4,"2,4,5-T, ISOOCTYL ESTER",367.7,1.05e-06,-5.9788107009301,2.51e-06,-5.600326278519,0.3784844224111,25,EXP,"HAMILTON,DJ (1980)"
25168-26-7,"2,4-D, ISOOCTYL ESTER",333.26,7.06e-06,-5.1511952989482,1.02e-05,-4.9913998282381,0.1597954707101,25,EXP,NATIONAL RES COUNCIL CANADA (1978)
25264-93-1,HEXENE - Mixture of isomers,84.163,172.58,2.2369904646531,173.0,2.2380461031288,0.00105563847569989,25,EXP,"JORDAN,TE (1954)"
25265-71-8,DIPROPYLENE GLYCOL,134.18,0.0319,-1.4962093169428,0.0073,-2.1366771398795,-0.6404678229367,25,EXP,"DAUBERT,TE & DANNER,RP (1989)"
25265-77-4,Texanol,216.32,0.01,-2.0,0.00478,-2.3205721033879,-0.3205721033879,20,EXP,"FLICK,EW (1991)"
25311-71-1,ISOFENPHOS,345.4,3e-06,-5.5228787452803,1.05e-05,-4.9788107009301,0.5440680443502,25,EXP,"WAUCHOPE,RD ET AL. (1991A)"
25319-90-8,MCPA-thioethyl,244.74,0.000158,-3.8013429130456,0.00027,-3.568636235841,0.2327066772046,20,EXP,"TOMLIN,C (1997)"
25321-09-9,DIISOPROPYLBENZENE,486.83,0.256,-0.59176003468815,0.326,-0.486782399932061,0.104977634756089,25,EXT,"BOUBLIK,T ET AL. (1984)"
25321-22-6,DICHLOROBENZENE,441.01,1.47,0.167317334748176,0.965,-0.0154726866562074,-0.182790021404383,25,EXP,"RESENDES,J ET AL. (1992)"
25322-20-7,TETRACHLOROETHANES,335.7,13.336,1.1250255868199,4.72,0.673941998634088,-0.451083588185812,25,EXP,"SHEN,TT (1982A)"
25323-30-2,DICHLOROETHYLENE,193.89,633.74,2.8019111195144,601.0,2.7788744720027,-0.0230366475117001,25,EXP,"SHEN,TT (1982A)"
25339-17-7,ISODECANOL,158.29,0.02068,-1.6844494655781,0.0204,-1.6903698325741,-0.00592036699599996,25,EXP,"YAWS,CL (1994B)"
25340-18-5,TRIETHYLBENZENE,486.83,0.2424,-0.615467384505751,0.145,-0.838631997765025,-0.223164613259274,25,EXT,"CHAO,J ET AL. (1983)"
25360-10-5,tert-Nonanethiol,160.32,0.532,-0.274088367704952,0.653,-0.185086818724926,0.089001548980026,25,EXP,"DAUBERT,TE & DANNER,RP (1998)"
25376-45-8,TOLUENE DIAMINE,610.86,0.001432,-2.8440569820282,0.000569,-3.2448877336049,-0.4008307515767,25,EXT,"YAWS,CL (1994A)"
25496-08-6,FLUOROTOLUENE,330.4,23.025,1.3621996388689,19.5,1.2900346113625,-0.0721650275063999,25,EXT,"BOUBLIK,T ET AL. (1984)"
25498-49-1,Dowanol TPM,206.28,0.00599,-2.2225731776107,0.0053,-2.2757241303992,-0.0531509527885001,25,EXP,"DAUBERT,TE & DANNER,RP (1998)"
25550-14-5,METHYL ETHYL BENZENE,360.59,2.882,0.459693976477971,2.29,0.359835482339888,-0.099858494138083,25,EXP,"AMBROSE,D ET AL. (1973)"
25551-13-7,TRIMETHYLBENZENES,360.59,2.1,0.322219294733919,2.01,0.303196057420489,-0.01902323731343,25,EXP,"BANERJEE,S ET AL. (1990)"
25606-41-1,PROPAMOCARB HCL,224.73,2.89e-07,-6.5391021572435,5.63e-07,-6.2494916051487,0.2896105520948,20,EXP,"TOMLIN,C (1997)"
25640-78-2,ISOPROPYLBIPHENYL,196.29,0.0005,-3.301029995664,0.000818,-3.0872466963287,0.2137832993353,25,EXP,"ADDISON,RF ET AL. (1983)"
26002-80-2,PHENOTHRIN,350.46,1.43e-07,-6.8446639625349,1.92e-06,-5.7166987712965,1.1279651912384,21,EXP,"TOMLIN,C (1994)"
26087-47-8,IBP (IPROBENFOS),288.35,4.05e-05,-4.3925449767853,7.07e-05,-4.1505805862031,0.2419643905822,25,EXP,"WATANABE,T (1993)"
26103-08-2,CHF2-O-CH(CF3)CF3,218.05,387.0,2.5877109650189,410.0,2.6127838567197,0.0250728917008001,25,EXP,"MURATA,J ET AL. (2002)"
26225-79-6,ETHOFUMESATE,286.35,4.9e-06,-5.3098039199715,8.7e-06,-5.0604807473814,0.2493231725901,25,EXP,"WAUCHOPE,RD ET AL. (1991A)"
26259-45-0,SECBUMETON,225.3,7.3e-06,-5.1366771398795,8.97e-05,-4.0472075569559,1.0894695829236,20,EXP,"AUGUSTIJN-BECKERS,PWM ET AL. (1994)"
26399-36-0,PROFLURALIN,347.3,6.3e-05,-4.2006594505464,9.07e-06,-5.0423927129399,-0.8417332623935,20,EXP,"TOMLIN,C (2003)"
26444-49-5,CRESYL DIPHENYL PHOSPHATE,340.32,4.7e-06,-5.3279021420643,1.04e-07,-6.9829666607012,-1.6550645186369,25,EXP,"BOETHLING,RS & COOPER,JC (1985)"
26471-62-5,"2,4/2,6-TOLUENEDIISOCYANATE",174.16,0.023,-1.6382721639824,0.0258,-1.5883802940368,0.0498918699456001,25,EXP,"HANN,RWJR & JENSEN,PA (1977)"
26519-91-5,Methylcyclopentadiene,80.131,124.0,2.0934216851622,128.0,2.1072099696479,0.0137882844856998,25,EXP,"DAUBERT,TE & DANNER,RP (1998)"
26523-64-8,TRICHLOROTRIFLUOROETHANE,374.75,362.01,2.5587205674526,336.0,2.5263392773898,-0.0323812900628,25,EXP,"FLICK,EW (1991)"
26530-20-1,"3(2H)-ISOTHIAZOLONE, 2-OCTYL-",213.34,3.68e-05,-4.4341521813265,0.0002,-3.698970004336,0.7351821769905,25,EXP,"TOMLIN,C (1997)"
26545-73-3,GLYCEROL DICHLOROHYDRIN,128.99,0.8006,-0.0965844142309137,0.306,-0.51427857351842,-0.417694159287506,25,EXT,"PERRY,RH & GREEN,D (1984)"
26601-64-9,HEXACHLOROBIPHENYL,360.88,3.75e-06,-5.4259687322723,5.81e-07,-6.2358238676097,-0.809855135337401,25,EXP,"MACKAY,D & PATERSON,S (1991)"
26635-64-3,ISOOCTANE,114.23,51.522,1.7119927132824,45.0,1.6532125137753,-0.0587801995071,25,EXP,"NICOLINI,ER (1951)"
26638-19-7,DICHLOROPROPANE,338.96,50.764,1.7055558354377,62.1,1.7930916001766,0.0875357647388999,25,EXP,"SHEN,TT (1982A)"
26644-46-2,TRIFORINE,434.97,2e-07,-6.698970004336,3.55e-10,-9.4497716469449,-2.7508016426089,25,EXP,"WAUCHOPE,RD ET AL. (1991A)"
26718-65-0,Mevinphos,224.15,0.000123,-3.9100948885606,0.00354,-2.4509967379742,1.4590981505864,20,EXP,"TOMLIN,C (1997)"
26761-40-0,DIISODECYL PHTHALATE,446.68,5.276e-07,-6.2776952131257,2.29e-07,-6.6401645176601,-0.3624693045344,25,EXP,"YAWS,CL (1994B)"
26763-63-3,DIPHENYLUREA,424.51,7.53e-06,-5.1232050237993,6.98e-05,-4.1561445773768,0.9670604464225,25,EXT,"FERRO,D & DELLAGATTA,G (1987)"
26856-30-4,HEXYNE,246.44,136.0,2.1335389083702,136.0,2.1335389083702,0.0,25,EXP,"HINE,J & MOOKERJEE,PK (1975)"
