CAS Number,Name,WSol (mg/L),WS Temp,WS type,Wsol Reference,VP (mm Hg),VP Temp,VP type,VP Reference,HenryLC (atm-m3/mole),HLC Temp,HLC type,HenryLC Reference
107-88-0,"1,3-BUTANEDIOL",1000000.0,25.0,EXP,"RIDDICK,JA ET AL. (1986)",0.0201,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",2.38e-09,25.0,EST,VP/WSOL
107-92-6,BUTYRIC ACID,60000.0,25.0,EXP,"HEMPHILL,L & SWANSON,WS (1964)",1.65,25.0,EXP,"LIDE,DR (1995)",5.35e-07,25.0,EXP,"BUTLER,JAV & RAMCHANDANI,CN (1935)"
107-98-2,1-METHOXY-2-PROPANOL,1000000.0,,EXP,DOW CHEMICAL COMPANY (1990),12.5,25.0,EXP,DOW CHEMICAL COMPANY (1990),9.2e-07,25.0,EXP,"JOHANSON,G & DYNESIUS,B (1988)"
108-01-0,2-DIMETHYLAMINOETHANOL,1000000.0,,EXP,"HANN,RWJR & JENSEN,PA (1977)",3.18,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",3.73e-07,25.0,EST,VP/WSOL
108-03-2,1-NITROPROPANE,15000.0,25.0,EXP,"RIDDICK,JA ET AL. (1986)",10.1,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",8.7e-05,25.0,EXP,"HINE,J & MOOKERJEE,PK (1975)"
108-05-4,VINYL ACETATE,20000.0,20.0,EXP,"RIDDICK,JA ET AL. (1986)",90.2,20.0,EXP,"DAUBERT,TE & DANNER,RP (1985)",0.000511,20.0,EST,VP/WSOL
108-08-7,"2,4-DIMETHYLPENTANE",5.5,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",79.4,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",1.9,25.0,EST,VP/WSOL
108-09-8,"2-Pentanamine, 4-methyl-",7.9,25.0,EXP,"YAWS,CL ET AL. (2001)",27.9,25.0,EST,"NEELY,WB & BLAU,GE (1985)",3.12e-05,25.0,EXP,"MEYLAN,WM & HOWARD,PH (1991)"
108-10-1,4-METHYL-2-PENTANONE,19000.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",19.9,25.0,EXP,"DAUBERT,TE & DANNER,RP (1985)",0.000138,25.0,EST,VP/WSOL
108-11-2,4-METHYL-2-PENTANOL,16400.0,25.0,EXP,"RIDDICK,JA ET AL. (1986)",5.3,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",4.45e-05,25.0,EXP,"HINE,J & MOOKERJEE,PK (1975)"
108-18-9,DIISOPROPYLAMINE,110000.0,25.0,EXP,"PARRISH,CF (1983)",79.4,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",9.6e-05,25.0,EST,VP/WSOL
108-20-3,DI-ISOPROPYL ETHER,8800.0,20.0,EXP,"HEITMANN,W ET AL (1987)",149.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1995)",0.00256,25.0,EXP,"PETER,H & SCHMIDT,TC (2004)"
108-21-4,ISOPROPYL ACETATE,30900.0,20.0,EXP,"STEPHEN,H & STEPHEN,T (1963)",60.4,25.0,EXP,"YAWS,CL (1994A)",0.000278,25.0,EXP,"BETTERTON,EA (1992A)"
108-24-7,ACETIC ANHYDRIDE,120000.0,20.0,EXP,"YALKOWSKY,SH & HE,Y (2003)",5.1,25.0,EXP,"LIDE,DR (1996)",5.71e-06,25.0,EST,VP/WSOL
108-32-7,PROPYLENE CARBONATE,175000.0,25.0,EXP,"RIDDICK,JA ET AL. (1986)",0.045,25.0,EXP,"DAUBERT,TE & DANNER,RP (1996)",3.45e-08,25.0,EST,VP/WSOL
108-36-1,M-DIBROMOBENZENE,67.5,35.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.269,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.00124,25.0,EST,VP/WSOL
108-38-3,M-XYLENE,161.0,25.0,EXP,"SANEMASA,I ET AL. (1982)",8.29,25.0,EXP,"CHAO,J ET AL. (1983)",0.00718,25.0,EXP,"SANEMASA,I ET AL. (1982)"
108-39-4,M-CRESOL,22700.0,25.0,EXP,"YALKOWSKY,SH & HE,Y (2003)",0.11,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",8.56e-07,25.0,EXP,"ALTSCHUH,J ET AL. (1999)"
108-41-8,M-CHLOROTOLUENE,38.0,,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",3.68,25.0,EXP,"PERRY,RH & GREEN,D (1984)",0.0161,25.0,EST,VP/WSOL
108-42-9,3-CHLOROANILINE,5400.0,20.0,EXP,"CHIOU,CT ET AL. (1982)",0.066,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",1e-06,25.0,EXP,"ALTSCHUH,J ET AL. (1999)"
108-43-0,3-CHLOROPHENOL,26000.0,20.0,EXP,"VERSCHUEREN,K (1977)",0.125,25.0,EXP,"SHIU,WY ET AL. (1994)",3.45e-07,25.0,EXP,"ABRAHAM,MH ET AL. (1994)"
108-44-1,M-TOLUIDINE,15000.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.303,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",1.66e-06,25.0,EXP,"ALTSCHUH,J ET AL. (1999)"
108-45-2,"1,3-BENZENEDIAMINE",238000.0,20.0,EXP,"STEPHEN,H & STEPHEN,T (1963)",0.00209,25.0,EXT,"DAUBERT,TE & DANNER,RP (1989)",1.25e-09,25.0,EST,VP/WSOL
108-46-3,RESORCINOL,717000.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.000489,25.0,EXT,"YAWS,CL (1994A)",9.88e-11,25.0,EST,VP/WSOL
108-47-4,"2,4-DIMETHYLPYRIDINE",350000.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",3.17,25.0,EXP,"CHAO,J ET AL. (1983)",6.74e-06,25.0,EXP,"ANDON,RJL ET AL. (1954)"
108-48-5,"2,6-LUTIDINE",300000.0,34.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",5.65,25.0,EXP,"CHAO,J ET AL. (1983)",1.04e-05,25.0,EXP,"ANDON,RJL ET AL. (1954)"
108-60-1,"DCIP  (2,2'-OXYBIS-1-CHLOROPROPANE)",1700.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.56,20.0,EXP,"TOMLIN,C (1997)",7.42e-05,20.0,EST,VP/WSOL
108-64-5,ETHYL ISOVALERATE,2000.0,20.0,EXP,"RIDDICK,JA ET AL. (1986)",8.3,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.000711,25.0,EST,VP/WSOL
108-65-6,PROPYLENE GLYCOL ME ETHER ACETATE,198000.0,25.0,EXP,"DANIELS,SL ET AL (1985)",3.92,25.0,EXP,"DAUBERT,TE & DANNER,RP (1994)",3.44e-06,25.0,EST,VP/WSOL
108-67-8,"1,3,5-TRIMETHYLBENZENE",48.2,25.0,EXP,"YALKOWSKY,SH & HE,Y (2003)",2.48,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.00877,25.0,EXP,"SANEMASA,I ET AL. (1982)"
108-68-9,"3,5-DIMETHYLPHENOL",4880.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.0405,25.0,EXT,"DAUBERT,TE & DANNER,RP (1996)",6.14e-07,25.0,EXP,"ABRAHAM,MH ET AL. (1994)"
108-70-3,"1,3,5-TRICHLOROBENZENE",6.01,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.24,25.0,EXP,"SHIU,WY & MACKAY,D (1997)",0.00189,25.0,EXP,"SHIU,WY & MACKAY,D (1997)"
108-75-8,"2,4,6-COLLIDINE",35000.0,20.0,EXP,MERCK INDEX (1996),1.99,25.0,EXP,"CHAO,J ET AL. (1983)",8.81e-06,25.0,EST,VP/WSOL
108-78-1,MELAMINE,3230.0,20.0,EXP,"YALKOWSKY,SH & HE,Y (2003)",3.59e-10,20.0,EXT,"HIRT,RC ET AL. (1960)",1.84e-14,20.0,EST,VP/WSOL
108-82-7,"2,6-DIMETHYL-4-HEPTANOL",445.0,25.0,EXP,"SUZUKI,T (1991)",0.303,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.000129,25.0,EST,VP/WSOL
108-83-8,"2,6-DIMETHYL-4-HEPTANONE",2640.0,24.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",1.65,25.0,EXP,"RIDDICK,JA ET AL. (1986)",0.000117,25.0,EST,VP/WSOL
108-84-9,4-METHYL-2-PENTYL ACETATE,1300.0,20.0,EXP,"RIDDICK,JA ET AL. (1986)",4.0,20.0,EXP,"RIDDICK,JA ET AL. (1986)",0.000584,20.0,EST,VP/WSOL
108-86-1,BROMOBENZENE,446.0,30.0,EXP,"CHIOU,CT ET AL. (1977)",4.18,25.0,EXP,"RIDDICK,JA ET AL. (1986)",0.00247,25.0,EXP,"SHIU,WY & MACKAY,D (1997)"
108-87-2,1-METHYLCYCLOHEXANE,14.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",46.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.43,25.0,EXP,"HINE,J & MOOKERJEE,PK (1975)"
108-88-3,TOLUENE,526.0,25.0,EXP,"SANEMASA,I ET AL. (1982)",28.4,25.0,EXP,"DAUBERT,TE & DANNER,RP (1985)",0.00664,25.0,EXP,"MACKAY,D ET AL. (1979)"
108-89-4,4-METHYLPYRIDINE,1000000.0,25.0,EXP,"KIRK-OTHMER; 4th ed, 20:644 (1996)",5.77,25.0,EXP,"CHAO,J ET AL. (1983)",6e-06,25.0,EXP,"ANDON,RJL ET AL. (1954)"
108-90-7,CHLOROBENZENE,498.0,25.0,EXP,"HORVATH,AL (1982)",12.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1987)",0.00311,25.0,EXP,"SHIU,WY & MACKAY,D (1997)"
108-91-8,CYCLOHEXANAMINE,1000000.0,20.0,EXP,MERCK INDEX (1996),10.1,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",4.16e-06,25.0,EXP,"ALTSCHUH,J ET AL. (1999)"
108-93-0,CYCLOHEXANOL,42000.0,10.0,EXP,"FISHER,WB & VANPEPPEN,JF (1978)",0.8,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",4.4e-06,25.0,EXP,"ALTSCHUH,J ET AL. (1999)"
108-94-1,CYCLOHEXANONE,25000.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",4.33,25.0,EXP,"DAUBERT,TE & DANNER,RP (1985)",9e-06,25.0,EXP,"HAWTHORNE,SB ET AL. (1985)"
108-95-2,PHENOL,82800.0,25.0,EXP,"SOUTHWORTH,GR & KELLER,JL (1986)",0.35,25.0,EXP,"JONES,AH (1960)",3.33e-07,25.0,EXP,"GAFFNEY,JS ET AL. (1987)"
108-98-5,THIOPHENOL,835.0,25.0,EXP,"WAKITA,K ET AL. (1986)",1.93,25.0,EXP,"CHAO,J ET AL. (1983)",0.000335,25.0,EST,VP/WSOL
108-99-6,3-METHYLPYRIDINE,1000000.0,25.0,EXP,"KIRK-OTHMER; 4th ed, 20:644 (1996)",6.05,25.0,EXP,"CHAO,J ET AL. (1983)",7.73e-06,25.0,EXP,"ANDON,RJL ET AL. (1954)"
109-04-6,2-BROMOPYRIDINE,20800.0,20.0,EXP,"HAWLEY, GG (1981)",0.77,25.0,EXT,"WEAST,RC ET AL. (1985)",7.7e-06,25.0,EST,VP/WSOL
109-06-8,2-METHYLPYRIDINE,1000000.0,,EXP,"RIDDICK,JA ET AL. (1986)",11.2,25.0,EXP,"CHAO,J ET AL. (1983)",9.96e-06,25.0,EXP,"ANDON,RJL ET AL. (1954)"
109-08-0,2-METHYLPYRAZINE,1000000.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",8.06,25.0,EXT,"CHAO,J ET AL. (1983)",2.2e-06,25.0,EXP,"BUTTERY,RG ET AL. (1971)"
109-09-1,2-CHLOROPYRIDINE,20000.0,25.0,EXP,CHEMICALS INSPECTION AND TESTING INSTITU (1992),2.18,25.0,EXP,"OHE,S (1976)",1.63e-05,25.0,EST,VP/WSOL
109-21-7,N-BUTYLBUTYRATE,500.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",1.81,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.000687,25.0,EST,VP/WSOL
109-43-3,DIBUTYL SEBACATE,40.0,20.0,EXP,"RIDDICK,JA ET AL. (1986)",4.69e-06,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",4.85e-08,25.0,EST,VP/WSOL
109-52-4,PENTANOIC ACID,24000.0,25.0,EXP,"YALKOWSKY,SH & HE,Y (2003)",0.196,25.0,EXP,"DAUBERT,TE & DANNER,RP (1995)",4.72e-07,25.0,EXP,"KHAN,I & BRIMBLECOMBE,P (1992)"
109-53-5,ISOBUTYL VINYL ETHER,3000.0,20.0,EXP,"HORT,EV (1978)",59.5,20.0,EXP,"FLICK,EW (1991)",0.00261,20.0,EST,VP/WSOL
109-59-1,2-Isopropoxyethanol,1000000.0,25.0,EXP,"HAWLEY, GG (1981)",1.62,25.0,EST,"NEELY,WB & BLAU,GE (1985)",9.2e-07,25.0,EXP,"JOHANSON,G & DYNESIUS,B (1988)"
109-60-4,N-PROPYL ACETATE,18900.0,20.0,EXP,"STEPHEN,H & STEPHEN,T (1963)",35.9,25.0,EXP,"YAWS,CL (1994)",0.000218,25.0,EXP,"KIECKBUSCH,TG & KING,CJ (1979)"
109-64-8,"1,3-DIBROMOPROPANE",1700.0,20.0,EXP,"YALKOWSKY,SH & HE,Y (2003)",1.36,25.0,EXP,"HINE,J & MOOKERJEE,PK (1975)",0.000888,25.0,EXP,"HINE,J & MOOKERJEE,PK (1975)"
109-65-9,1-BROMOBUTANE,869.0,25.0,EXP,"YALKOWSKY,SH & HE,Y (2003)",42.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.00871,25.0,EST,VP/WSOL
109-66-0,N-PENTANE,38.0,25.0,EXP,"RIDDICK,JA ET AL. (1986)",514.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",1.25,25.0,EXP,"HINE,J & MOOKERJEE,PK (1975)"
109-67-1,1-PENTENE,148.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",635.0,25.0,EXP,"PERRY,RH & GREEN,D (1984)",0.396,25.0,EST,VP/WSOL
109-68-2,2-PENTENE,203.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",528.0,25.0,EXP,"RIDDICK,JA ET AL. (1986)",0.24,25.0,EST,VP/WSOL
109-69-3,1-CHLOROBUTANE,1100.0,25.0,EXP,"RIDDICK,JA ET AL. (1986)",101.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.0167,25.0,EXP,"LEIGHTON,DTJR & CALO,JM (1981)"
109-73-9,N-BUTYLAMINE,1000000.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",92.9,25.0,EXP,"DAUBERT,TE & DANNER,RP (1995)",1.74e-05,25.0,EXP,"CHRISTIE,AO & CRISP,DJ (1967)"
109-74-0,BUTYRONITRILE,33000.0,25.0,EXP,"RIDDICK,JA ET AL. (1986)",19.5,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",5.23e-05,25.0,EXP,"BUTLER,JAV & RAMCHANDANI,CN (1935)"
109-77-3,MALONONITRILE,133000.0,25.0,EXP,"KIRK-OTHMER; 4th ed, 15:941 (1995)",0.2,25.0,EXT,"DAUBERT,TE & DANNER,RP (1989)",1.31e-07,25.0,EST,VP/WSOL
109-78-4,ETHYLENE CYANOHYDRIN,1000000.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.0802,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",7.5e-09,25.0,EST,VP/WSOL
109-79-5,BUTANETHIOL,597.0,20.0,EXP,"RIDDICK,JA ET AL. (1986)",45.5,25.0,EXP,"YAWS,CL (1994)",0.00454,25.0,EXP,"PRZYJAZNY,A ET AL. (1983)"
109-86-4,2-METHOXYETHANOL,1000000.0,25.0,EXP,DOW CHEMICAL COMPANY (1981),9.5,25.0,EXP,DOW CHEMICAL COMPANY (1981),3.3e-07,25.0,EXP,"JOHANSON,G & DYNESIUS,B (1988)"
109-87-5,DIMETHOXYMETHANE,244000.0,16.0,EXP,"RIDDICK,JA ET AL. (1986)",398.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.000173,25.0,EXP,"HINE,J & MOOKERJEE,PK (1975)"
109-89-7,DIETHYLAMINE,1000000.0,25.0,EXP,"RIDDICK,JA ET AL. (1986)",237.0,25.0,EXP,"YAWS,CL (1994)",2.55e-05,25.0,EXP,"CHRISTIE,AO & CRISP,DJ (1967)"
109-92-2,ETHYL VINYL ETHER,10000.0,37.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",511.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.00539,25.0,EST,VP/WSOL
109-93-3,DIVINYL ETHER,7690.0,25.0,EXP,"SUZUKI,T (1991)",670.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.00804,25.0,EST,VP/WSOL
109-94-4,ETHYL FORMATE,88200.0,25.0,EXP,"HANSCH,C ET AL. (1968)",245.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1985)",0.000385,25.0,EXP,"BOCEK,K (1976)"
109-97-7,PYRROLE,45000.0,25.0,EXP,"RIDDICK,JA ET AL. (1986)",8.36,25.0,EXP,"YAWS,CL (1994)",1.8e-05,25.0,EXP,"HAWTHORNE,SB ET AL. (1985)"
109-99-9,TETRAHYDROFURAN,1000000.0,20.0,EXP,"DUNLOP,AP (1966)",162.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",7.05e-05,25.0,EXP,"CABANI,S ET AL. (1971A)"
110-00-9,FURAN,10000.0,25.0,EXP,"VALVANI,SC ET AL. (1981)",600.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.0054,25.0,EST,VP/WSOL
110-02-1,THIOPHENE,3010.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",79.7,25.0,EXP,"BOUBLIK,T ET AL. (1984)",0.00227,25.0,EXP,"PRZYJAZNY,A ET AL. (1983)"
110-05-4,T-BUTYL-PEROXIDE,100.0,,EXP,MERCK INDEX (1996),25.1,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.0483,25.0,EST,VP/WSOL
110-12-3,5-METHYL-2-HEXANONE,5400.0,25.0,EXP,"AMOORE,JE & HAUTALA,E (1983)",5.77,25.0,EXP,"ALARIE,MH ET AL. (1995)",0.00016,25.0,EST,VP/WSOL
110-15-6,BUTANEDIOC ACID,83200.0,25.0,EXP,"YALKOWSKY,SH & HE,Y (2003)",1.91e-07,25.0,EXT,"YAWS,CL (1994)",3.57e-13,25.0,EST,VP/WSOL
110-19-0,SEC-BUTYLACETATE,6300.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",17.8,25.0,EXP,"YAWS,CL (1994)",0.000454,25.0,EXP,"BETTERTON,EA (1992)"
110-42-9,METHYL DECANOATE,4.4,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.037,25.0,EXP,"DAUBERT,TE & DANNER,RP (1995)",0.00206,25.0,EST,VP/WSOL
110-43-0,2-HEPTANONE,4300.0,25.0,EXP,"RIDDICK,JA ET AL. (1986)",3.86,25.0,EXP,"AMBROSE,D ET AL. (1975)",0.000169,25.0,EXP,"SHIU,WY & MACKAY,D (1997)"
110-45-2,ISOAMYL FORMATE,3500.0,25.0,EXP,"SUZUKI,T (1991)",15.3,25.0,EXP,"HINE,J & MOOKERJEE,PK (1975)",0.000674,25.0,EXP,"HINE,J & MOOKERJEE,PK (1975)"
110-49-6,2-METHOXYETHYL ACETATE,1000000.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",2.0,20.0,EXP,"FLICK,EW (1991)",3.11e-07,20.0,EST,VP/WSOL
110-53-2,1-BROMOPENTANE,127.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",12.6,25.0,EXP,"RIDDICK,JA ET AL. (1986)",0.0197,25.0,EST,VP/WSOL
110-54-3,N-HEXANE,9.5,25.0,EXP,"MCAULIFFE,C (1966)",151.0,25.0,EXP,"BOUBLIK,T ET AL. (1984)",1.8,25.0,EST,VP/WSOL
110-56-5,"1,4-DICHLOROBUTANE",15300.0,,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",4.13,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.000486,25.0,EXP,"LEIGHTON,DTJR & CALO,JM (1981)"
110-57-6,"1,4-DICHLORO-2-BUTENE(TRANS)",850.0,25.0,EXP,"ALBANESE,V ET AL. (1987)",3.43,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.000664,25.0,EST,VP/WSOL
110-58-7,N-PENTYLAMINE,1000000.0,20.0,EXP,"RIDDICK,JA ET AL. (1986)",30.0,25.0,EXP,"YAWS,CL (1994)",2.43e-05,25.0,EXP,"CHRISTIE,AO & CRISP,DJ (1967)"
110-61-2,SUCCINONITRILE,127000.0,20.0,EXP,"YALKOWSKY,SH & HE,Y (2003)",0.00778,25.0,EXP,"DAUBERT,TE & DANNER,RP (1999)",6.46e-09,25.0,EST,VP/WSOL
110-62-3,1-PENTANAL,11700.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",26.0,20.0,EXP,"FLICK,EW (1991)",0.000147,25.0,EXP,"BUTTERY,RG ET AL. (1969)"
110-63-4,"1,4-BUTANEDIOL",1000000.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.0105,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",1.3e-09,25.0,EST,VP/WSOL
110-66-7,1-PENTANETHIOL,156.0,20.0,EXP,BEILSTEIN,13.8,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.0121,25.0,EST,VP/WSOL
110-74-7,PROPYL FORMATE,22000.0,22.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",82.6,25.0,EXP,"YAWS,CL (1994)",0.000435,25.0,EST,VP/WSOL
110-75-8,2-CHLOROETHYL VINYL ETHER,429.0,25.0,EXP,"ENFIELD,CG ET AL. (1986)",26.8,20.0,EXP,"CALLAHAN,MA ET AL. (1979A)",0.00876,25.0,EST,VP/WSOL
110-80-5,2-Ethoxyethanol,1000000.0,,EXP,DOW CHEMICAL COMPANY (1981),5.31,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",4.7e-07,25.0,EXP,"JOHANSON,G & DYNESIUS,B (1988)"
110-81-6,DIETHYL DISULFIDE,300.0,25.0,EXP,derived from experimental HLC data,4.28,25.0,EXP,"YAWS,CL (1994)",0.00215,20.0,EXP,"VITENBERG,AG ET AL. (1975)"
110-82-7,CYCLOHEXANE,55.0,25.0,EXP,"MCAULIFFE,C (1966)",96.9,25.0,EXP,"CHAO,J ET AL. (1983)",0.15,25.0,EXP,"BOCEK,K (1976)"
110-83-8,CYCLOHEXENE,213.0,25.0,EXP,"YALKOWSKY,SH & HE,Y (2003)",89.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.0455,25.0,EXP,"HINE,J & MOOKERJEE,PK (1975)"
110-86-1,PYRIDINE,1000000.0,25.0,EXP,"GOE,GL (1978)",20.8,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",1.1e-05,25.0,EXP,"HAWTHORNE,SB ET AL. (1985)"
110-89-4,PIPERIDINE,1000000.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",32.1,25.0,EXP,"YAWS,CL (1994)",4.45e-06,25.0,EXP,"CABANI,S ET AL. (1971)"
110-91-8,MORPHOLINE,1000000.0,,EXP,"RIDDICK,JA ET AL. (1986)",10.1,25.0,EXP,"RIDDICK,JA ET AL. (1986)",1.16e-06,25.0,EST,VP/WSOL
110-96-3,DIISOBUTYLAMINE,2200.0,25.0,EXP,CHEMICALS INSPECTION AND TESTING INSTITU (1992),7.27,25.0,EXP,"YAWS,CL (1994)",0.000562,25.0,EST,VP/WSOL
111-11-5,METHYL OCTANOATE,64.4,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.54,25.0,EXT,"PERRY,RH & GREEN,D (1984)",0.000783,25.0,EXP,"BUTTERY,RG ET AL. (1969)"
111-13-7,2-OCTANONE,899.0,20.0,EXP,"YALKOWSKY,SH & HE,Y (2003)",1.35,25.0,EXP,"RIDDICK,JA ET AL. (1986)",0.000188,25.0,EXP,"BUTTERY,RG ET AL. (1969)"
111-14-8,HEPTANOIC ACID,2820.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.0107,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",6.5e-07,25.0,EST,VP/WSOL
111-15-9,ETHOXYETHYLACETATE,247000.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",2.34,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",3.2e-06,25.0,EXP,"JOHANSON,G & DYNESIUS,B (1988)"
111-16-0,PIMELIC ACID,50000.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",9e-08,25.0,EXP,"CHATTOPADHYAY,S ET AL. (2001)",3.79e-13,25.0,EST,VP/WSOL
111-25-1,1-BROMOHEXANE,25.7,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",3.9,25.0,EXP,"LI,JCM & ROSSINI,FD (1953)",0.0328,25.0,EST,VP/WSOL
111-26-2,N-HEXYLAMINE,12000.0,25.0,EXP,EPA,8.99,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",2.68e-05,25.0,EXP,"CHRISTIE,AO & CRISP,DJ (1967)"
111-27-3,1-HEXANOL,5900.0,25.0,EXP,"YALKOWSKY,SH & HE,Y (2003)",0.928,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",1.71e-05,25.0,EXP,"BUTTERY,RG ET AL. (1969)"
111-34-2,BUTYL VINYL ETHER,3000.0,20.0,EXP,"RIDDICK,JA ET AL. (1986)",49.1,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.00216,25.0,EST,VP/WSOL
111-42-2,DIETHANOLAMINE,1000000.0,20.0,EXP,DOW CHEMICAL COMPANY (1980),0.00028,25.0,EXP,DOW CHEMICAL COMPANY (1980),3.87e-11,25.0,EST,VP/WSOL
111-43-3,DI(N-PROPYL) ETHER,4900.0,25.0,EXP,"RIDDICK,JA ET AL. (1986)",62.5,25.0,EXP,"RIDDICK,JA ET AL. (1986)",0.0022,25.0,EXP,"BOCEK,K (1976)"
111-44-4,BIS(2-CHLOROETHYL) ETHER,17200.0,20.0,EXP,"VEITH,GD ET AL. (1980)",1.55,25.0,EXP,"RIDDICK,JA ET AL. (1986)",1.7e-05,25.0,EST,VP/WSOL
111-47-7,DI-N-PROPYLSULFIDE,351.0,25.0,EST,"MEYLAN,WM ET AL. (1996)",6.45,25.0,EXT,"ZWOLINSKI,BJ & WILHOIT,RC (1971)",0.00324,25.0,EXP,"PRZYJAZNY,A ET AL. (1983)"
