CAS Number,Name,WSol (mg/L),WS Temp,WS type,Wsol Reference,VP (mm Hg),VP Temp,VP type,VP Reference,HenryLC (atm-m3/mole),HLC Temp,HLC type,HenryLC Reference
1071-83-6,GLYPHOSPHATE,10500.0,25.0,EXP,"TOMLIN,C (2003)",9.8e-08,25.0,EXP,"TOMLIN,C (2003)",2.1e-12,25.0,EST,VP/WSOL
1077-16-3,N-HEXYLBENZENE,0.902,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.121,25.0,EXP,"YAWS,CL (1994B)",0.0286,25.0,EST,VP/WSOL
1078-71-3,1-PHENYLHEPTANE,0.447,25.0,EXP,"WASIK,SP ET AL. (1981)",0.031,25.0,EXP,"YAWS,CL (1994B)",0.0151,25.0,EST,VP/WSOL
1085-98-9,DICHLOFLUANID,1.3,20.0,EXP,"TOMLIN,C (1994)",1.12e-07,25.0,EXP,"TOMLIN,C (1997)",3.78e-08,25.0,EST,VP/WSOL
1114-71-2,PEBULATE,100.0,25.0,EXP,USDA PESTICIDE PROPERTIES DATABASE,0.0885,25.0,EXP,USDA PESTICIDE PROPERTIES DATABASE,0.000237,25.0,EST,VP/WSOL
1119-40-0,"PENTANEDIOIC ACID, DIMETHYL ESTER",59000.0,25.0,EXP,CHEM EVAL RES INST JAPAN (2002),0.18,25.0,EXT,various reduced boil pts,6.43e-07,25.0,EST,VP/WSOL
1120-21-4,N-UNDECANE,0.0044,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.412,25.0,EXP,"DAUBERT,TE & DANNER,RP (1999)",1.93,25.0,EST,VP/WSOL
1122-54-9,4-ACETYLPYRIDINE,38700.0,25.0,EST,"MEYLAN,WM ET AL. (1996)",0.374,25.0,EST,"NEELY,WB & BLAU,GE (1985)",6.28e-08,25.0,EXP,"ABRAHAM,MH ET AL. (1994)"
1127-76-0,1-ETHYLNAPHTHALENE,10.7,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.0252,25.0,EXP,"YAWS,CL (1994B)",0.000685,25.0,EXP,"ALTSCHUH,J ET AL. (1999)"
1129-41-5,N-METHYL-M-TOLYLCARBAMATE,2600.0,30.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.00108,20.0,EXP,"TOMLIN,C (1994)",9.03e-08,20.0,EST,VP/WSOL
1134-23-2,CYCLOATE,85.0,22.0,EXP,"SHIU,WY ET AL. (1990)",0.002,25.0,EXP,"KOREN,E ET AL. (1980)",6.7e-06,25.0,EST,VP/WSOL
1194-65-6,"2,6-DICHLOROBENZONITRILE",14.6,20.0,EXP,"TOMLIN,C (1997)",0.00066,20.0,EXP,"TOMLIN,C (1997)",1.01e-05,25.0,EST,VP/WSOL
1214-39-7,"1H-PURIN-6-AMINE, N-(PHENYLMETHYL)-",60.0,20.0,EXP,"TOMLIN,C (1997)",1.79e-11,20.0,EXP,"TOMLIN,C (1997)",8.84e-14,20.0,EST,VP/WSOL
1241-94-7,2-ETHYLHEXYL DIPHENYL PHOSPHATE,1.9,25.0,EXP,"SAEGER,VW ET AL. (1979)",5e-05,25.0,EXT,Various reduced BPs,5.42e-05,25.0,EXP,"MUIR,DCG ET AL. (1985C)"
1330-20-7,XYLENES (Isomer Mixture),106.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",7.99,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.00663,25.0,EXP,"SANEMASA,I ET AL. (1982)"
1330-78-5,TRICRESYL PHOSPHATE,0.36,25.0,EXP,"SAEGER,VW ET AL. (1979)",6e-07,25.0,EXT,"BOETHLING,RS & COOPER,JC (1985)",8.08e-07,25.0,EST,VP/WSOL
1435-60-5,4-(4-NITROPHENYLAZO)PHENOL,3.89,25.0,EXP,"BAUGHMAN,GL & PERENICH,TA (1988)",3e-10,25.0,EXT,"BAUGHMAN,GL & PERENICH,TA (1988)",2.47e-11,25.0,EST,VP/WSOL
1445-75-6,"PHOSPHONIC ACID, METHYL-, DIISOPROPYL ESTER",1500.0,25.0,EXP,"ROSENBLATT,DH ET AL. (1975); avg",0.277,25.0,EXT,"ROSENBLATT,DH ET AL. (1975)",4.38e-05,25.0,EST,VP/WSOL
1476-11-5,"1,4-DICHLORO-2-BUTENE(CIS)",580.0,25.0,EXP,"ALBANESE,V ET AL. (1987)",4.09,25.0,EXP,"YAWS,CL (1994)",0.00116,25.0,EST,VP/WSOL
1520-78-1,TRIMETHYL LEAD CHLORIDE,96900.0,20.0,EXP,"WANG,Y ET AL. (1996B)",2.9e-05,20.0,EXP,"WANG,Y ET AL. (1996B)",1.13e-10,20.0,EST,VP/WSOL
1563-66-2,CARBOFURAN,320.0,25.0,EXP,"SHAROM,MS ET AL. (1980A)",4.85e-06,19.0,EXP,"FERREIRA,GAL & SEIBER,JN (1981)",3.09e-09,19.0,EST,VP/WSOL
1568-70-3,4-METHOXY-2-NITROPHENOL,244.0,20.0,EXP,"SCHWARZENBACH,RP ET AL. (1988)",0.00206,20.0,EST,HenryLC * Wsol,1.88e-06,20.0,EXP,"TREMPT,J ET AL. (1993)"
1570-64-5,2-METHYL-4-CHLOROPHENOL,4000.0,25.0,EXP,"WOODROW,JE ET AL (1990)",0.024,25.0,EXP,"WOODROW,JE ET AL. (1990)",1.13e-06,25.0,EST,VP/WSOL
1582-09-8,TRIFLURALIN,0.184,25.0,EXP,"TOMLIN,C (1997); pH 5",4.58e-05,25.0,EXP,"TOMLIN,C (1997)",0.000103,20.0,EXP,"RICE,CP & CHERNYAK,SM (1995)"
1596-84-5,DAMINOZIDE,100000.0,25.0,EXP,"TOMLIN,C (1994)",0.0002,23.0,EXP,"AUGUSTIJN-BECKERS,PWM ET AL. (1994)",4.23e-10,25.0,EST,VP/WSOL
1610-17-9,ATRATONE,1800.0,20.0,EXP,"BAILEY,GW ET AL. (1968)",2.9e-06,20.0,EXP,"KEARNEY,PC & KAUFMAN,DD (1975A)",4.48e-10,20.0,EST,VP/WSOL
1610-18-0,PROMETON,750.0,25.0,EXP,"TOMLIN,C (1994)",2.3e-06,20.0,EXP,"TOMLIN,C (1997)",9.09e-10,20.0,EST,VP/WSOL
1634-04-4,METHYL T-BUTYL ETHER,51000.0,25.0,EXP,"BENNETT,GM & PHILIP,WG (1928)",250.0,25.0,EXP,"DAUBERT,TE & DANNER,RP (1995)",0.000587,25.0,EXP,"HINE,J & MOOKERJEE,PK (1975)"
1634-78-2,MALAOXON,7500.0,22.0,EXP,NIH NTP Reports web-site,9.8e-06,20.0,EXP,NIH NTP Reports web-site,5.4e-10,20.0,EST,VP/WSOL
1639-09-4,1-HEPTANETHIOL,9.26,20.0,EXP,BEILSTEIN,1.31,25.0,EXP,"YAWS,CL (1994A)",0.0246,25.0,EST,VP/WSOL
1646-87-3,ALDICARB SULFOXIDE,28000.0,25.0,EXP,"CARSEL,RF ET AL. (1985)",0.0001,25.0,EXP,"DIERBERG,FE & GIVEN,CJ (1986)",9.69e-10,25.0,EST,VP/WSOL
1646-88-4,ALDICARB SULFONE,10000.0,25.0,EXP,"WAUCHOPE,RD ET AL. (1991A)",9e-05,25.0,EXP,"WAUCHOPE,RD ET AL. (1991A)",3.37e-09,25.0,EST,VP/WSOL
1649-08-7,"1,2-DICHLORO-1,1-DIFLUOROETHANE",850.0,24.0,EXP,"HORVATH,AL ET AL. (1999)",340.0,25.0,EXP,"KUBOTA,H ET AL. (1989)",0.071,25.0,EST,VP/WSOL
1678-91-7,ETHYLCYCLOHEXANE,6.3,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",12.8,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",0.3,25.0,EST,VP/WSOL
1686-14-2,alpha-Pinene Oxide,388.0,25.0,EXP,"FICHAN,I ET AL. (1999)",0.818,25.0,EXP,"FICHAN,I ET AL. (1999)",0.000422,25.0,EST,VP/WSOL
1689-82-3,P-PHENYLAZOPHENOL,90.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",2.31e-07,25.0,EXP,"SHIMIZU,T ET AL. (1987)",6.7e-10,25.0,EST,VP/WSOL
1689-84-5,BROMOXYNIL,130.0,25.0,EXP,"WORTHING,CR & WALKER,SB (1987)",4.72e-08,20.0,EXP,"TOMLIN,C (1997)",1.32e-10,20.0,EST,VP/WSOL
1689-99-2,BROMOXYNIL OCTANOATE,0.08,25.0,EXP,USDA PESTICIDE PROPERTIES DATABASE,4.8e-06,25.0,EXP,USDA PESTICIDE PROPERTIES DATABASE,3.19e-05,25.0,EST,VP/WSOL
1698-60-8,CHLORIDAZON,400.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",4.5e-07,20.0,EXP,USDA PESTICIDE PROPERTIES DATABASE;(1997),3.33e-10,25.0,EST,VP/WSOL
1702-17-6,"3,6-DICHLOROPICOLINIC ACID",7850.0,20.0,EXP,"TOMLIN,C (1994)",1.2e-05,25.0,EXP,"WORTHING,CR & WALKER,SB (1987)",3.03e-09,25.0,EST,VP/WSOL
1712-64-7,ISOPROPYL NITRATE,3650.0,25.0,EXP,"HAUFF,K ET AL. (1998)",34.1,25.0,EXP,"BOUBLIK,T ET AL. (1984)",0.00161,25.0,EXP,"HAUFF,K ET AL. (1998)"
1717-00-6,"1,1-DICHLOROFLUOROETHANE",420.0,25.0,EXP,"HORVATH,AL ET AL. (1999)",600.0,25.0,EXP,"DUARTE-GARZA,H ET AL. (1997)",0.022,25.0,EST,VP/WSOL
1724-39-6,CYCLODODECANOL,20.7,25.0,EST,"MEYLAN,WM ET AL. (1996)",0.000379,25.0,EST,"NEELY,WB & BLAU,GE (1985)",2.94e-06,25.0,EXP,"ALTSCHUH,J ET AL. (1999)"
1730-37-6,1-METHYLFLUORENE,1.09,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.0003,25.0,EXT,"MOKBEL,I ET AL. (1995A)",6.53e-05,25.0,EST,VP/WSOL
1746-01-6,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN",0.0002,25.0,EXP,"SHIU,WY ET AL. (1988)",1.5e-09,25.0,EXP,"RORDORF,BF (1987)",5e-05,25.0,EST,VP/WSOL
1746-81-2,MONOLINURON,930.0,20.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",0.00015,20.0,EXP,"AUGUSTIJN-BECKERS,PWM ET AL. (1994)",4.6e-08,20.0,EST,VP/WSOL
1825-31-6,"1,4-DICHLORONAPHTHALENE",0.865,25.0,EXP,"YALKOWSKY,SH & HE,Y (2003)",0.0014,25.0,EXT,"LEI,YD ET AL. (1999)",0.00042,25.0,EST,VP/WSOL
1861-32-1,DIMETHYL TETRACHLOROTEREPHTHALATE,0.5,25.0,EXP,"TOMLIN,C (1997)",2.5e-06,25.0,EXP,"GLOTFELTY,DE ET AL. (1984A)",2.18e-06,25.0,EST,VP/WSOL
1861-40-1,BENEFIN,0.1,25.0,EXP,"TOMLIN,C (1997)",6.53e-05,25.0,EXP,"TOMLIN,C (1997)",0.000291,25.0,EST,VP/WSOL
